Year Won,Category Won,Who Won?,What Show Was It? (Might Be Same as Last)
1958,Best Costume Design of a Play,Motley,The First Gentleman
1958,Best Direction of a Play,Vincent J. Donehue,Sunrise At Campobello
1958,Best Musical,The Music Man,The Music Man
1958,Best Play,Sunrise At Campobello,Sunrise At Campobello
1958,Best Producer of a Musical,Kermit Bloomgarden,The Music Man
1958,Best Producer of a Musical,Herbert Greene,The Music Man
1958,Best Producer of a Musical,Frank Productions,The Music Man
1958,Best Producer of a Play,Lawrence Langer,Sunrise At Campobello
1958,Best Producer of a Play,Theresa Helburn,Sunrise At Campobello
1958,Best Producer of a Play,Armina Marshall,Sunrise At Campobello
1958,Best Producer of a Play,Dore Schary,Sunrise At Campobello
1958,Best Scenic Design of a Musical,Oliver Smith,West Side Story
1959,Best Performance by an Actor in a Leading Role in a Musical,Richard Kiley,Redhead
1959,Best Performance by an Actor in a Leading Role in a Play,Jason Robards Jr.,The Disenchanted
1959,Best Performance by an Actress in a Leading Role in a Musical,Gwen Verdon,Redhead
1959,Best Performance by an Actress in a Leading Role in a Play,Gertrude Berg,A Majority of One
1959,Best Performance by an Actor in a Featured Role in a Musical,Russell Nype,Goldilocks
1959,Best Performance by an Actor in a Featured Role in a Musical,Leonard Stone,Redhead
1959,Best Performance by an Actor in a Featured Role in a Play,Charlie Ruggles,The Pleasure of His Company
1959,Best Performance by an Actress in a Featured Role in a Musical,Pat Stanley,Goldilocks
1959,Best Performance by an Actress in a Featured Role in a Play,Julie Newmar,The Marriage-Go-Round
1959,Best Choreography,Bob Fosse,Redhead
1959,Conductor And Musical Director,Salvatore Dell'isola,Flower Drum Song
1959,Best Costume Design of a Musical,Rouben Ter-Arutunian,Redhead
1959,Best Direction of a Play,Elia Kazan,J.B.
1959,Best Musical,Redhead,Redhead
1959,Best Play,J.B.,J.B.
1959,Best Producer of a Musical,Robert Fryer,Redhead
1959,Best Producer of a Musical,Lawrence Carr,Redhead
1959,Best Producer of a Play,Alfred de Liagre Jr.,J.B.
1959,Best Scenic Design of a Play,Donald Oenslager,A Majority of One
1960,Best Performance by an Actor in a Leading Role in a Musical,Jackie Gleason,Take Me Along
1960,Best Performance by an Actress in a Leading Role in a Play,Mary Martin,The Sound of Music
1960,Best Performance by an Actor in a Leading Role in a Play,Melvyn Douglas,The Best Man
1960,Best Performance by an Actress in a Leading Role in a Play,Anne Bancroft,The Miracle Worker
1960,Best Performance by an Actor in a Featured Role in a Musical,Tom Bosley,Fiorello!
1960,Best Performance by an Actor in a Featured Role in a Play,Roddy McDowell,The Fighting Cock
1960,Best Performance by an Actress in a Featured Role in a Musical,Patricia Neway,The Sound of Music
1960,Best Performance by an Actress in a Featured Role in a Play,Anne Revere,Toys in the Attic
1960,Best Choreography,Michael Kidd,Destry Rides Again
1960,Conductor And Musical Director,Frederick Dvonch,The Sound of Music
1960,Best Costume Design of a Musical,Cecil Beaton,Saratoga
1960,Best Direction of a Musical,George Abbott,Fiorello!
1960,Best Direction of a Play,Arthur Penn,The Miracle Worker
1960,Best Musical,The Sound of Music,The Sound of Music
1960,Best Musical,Fiorello!,Fiorello!
1960,Best Play,The Miracle Worker,The Miracle Worker
1960,Best Producer of a Musical,Robert E. Griffith,Fiorello!
1960,Best Producer of a Musical,Harold Prince,Fiorello!
1960,Best Producer of a Musical,Leland Hayward/Richard Halliday/Rodgers and Hammerstein,The Sound of Music
1960,Best Producer of a Play,Fred Coe,The Miracle Worker
1960,Best Scenic Design of a Musical,Oliver Smith,The Sound of Music
1960,Best Scenic Design of a Play,Howard Bay,Toys in the Attic
1961,Best Performance by an Actor in a Leading Role in a Musical,Richard Burton,Camelot
1961,Best Performance by an Actor in a Leading Role in a Play,Zero Mostel,Rhinoceros
1961,Best Performance by an Actress in a Leading Role in a Musical,Elizabeth Seal,Irma La Douce
1961,Best Performance by an Actress in a Leading Role in a Play,Joan Plowright,A Taste of Honey
1961,Best Performance by an Actor in a Featured Role in a Musical,Dick Van Dyke,Bye Bye Birdie
1961,Best Performance by an Actor in a Featured Role in a Play,Martin Gable,"Big Fish, Little Fish"
1961,Best Performance by an Actress in a Featured Role in a Musical,Tammy Grimes,The Unsinkable Molly Brown
1961,Best Performance by an Actress in a Featured Role in a Play,Colleen Dewhurst,All the Way Home
1961,Best Choreography,Gower Champion,Bye Bye Birdie
1961,Conductor And Musical Director,Franz Allers,Camelot
1961,Best Costume Design of a Musical,Adrain,Camelot
1961,Best Costume Design of a Musical,Tony Duquette,Camelot
1961,Best Costume Design of a Play,Motley,Becket
